row	 col	 TR	 RR	 DET	 MEAN_dl	 MAX_dl	 DIV_dl	 ENT_dl	 ENTrel_dl	 LAM_vl	 TT_vl	 MAX_vl	 DIV_vl	 ENT_vl	 ENTrel_vl	 LAM_hl	 TT_hl	 MAX_hl	 DIV_hl	 ENT_hl	 ENTrel_hl	 nozero	 noone	 more2
      38	       2	 4489.00	    0.87	    0.96	    9.01	   21.00	    0.05	    2.74	    0.90	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      38	       3	 4900.00	    0.95	    1.00	   18.25	   51.00	    0.02	    3.29	    0.84	    1.00	   35.00	   51.00	    0.02	    0.69	    0.18	    1.00	   35.00	   51.00	    0.02	    0.69	    0.18	    0.00	    1.00	    1.00
      38	       4	 4761.00	    0.92	    1.00	   12.26	   50.00	    0.02	    2.70	    0.69	    1.00	   23.00	   50.00	    0.02	    1.10	    0.28	    1.00	   23.00	   50.00	    0.02	    1.10	    0.28	    0.00	    1.00	    1.00
      38	       5	 4624.00	    0.89	    0.99	    7.56	   46.00	    0.02	    2.16	    0.56	    1.00	   13.60	   46.00	    0.02	    1.33	    0.35	    1.00	   13.60	   46.00	    0.02	    1.33	    0.35	    0.00	    1.00	    1.00
      38	       6	 3600.00	    0.69	    0.93	    8.01	   29.00	    0.03	    2.48	    0.74	    0.97	   14.50	   29.00	    0.03	    1.04	    0.31	    0.97	   14.50	   29.00	    0.03	    1.04	    0.31	    0.00	    1.00	    1.00
      38	       7																							
      38	       8																							
      38	       9																							
      39	       1	 5041.00	    0.97	    0.97	   35.75	   70.00	    0.01	    4.23	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      39	       2	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      39	       3	 4761.00	    0.92	    1.00	   35.25	   69.00	    0.01	    4.22	    1.00	    1.00	   69.00	   69.00	    0.01	   -0.00	   -0.00	    1.00	   69.00	   69.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      39	       4	 4900.00	    0.95	    1.00	   35.75	   70.00	    0.01	    4.23	    1.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      39	       5	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      39	       6	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      39	       7																							
      39	       8																							
      39	       9																							
      40	       1	 3249.00	    0.63	    0.95	    6.36	   33.00	    0.03	    2.12	    0.60	    0.98	   11.20	   33.00	    0.03	    1.33	    0.38	    0.98	   11.20	   33.00	    0.03	    1.33	    0.38	    0.00	    1.00	    1.00
      40	       2	 4900.00	    0.95	    1.00	   18.25	   51.00	    0.02	    3.29	    0.84	    1.00	   35.00	   51.00	    0.02	    0.69	    0.18	    1.00	   35.00	   51.00	    0.02	    0.69	    0.18	    0.00	    1.00	    1.00
      40	       3	  529.00	    0.10	    0.94	    3.65	    8.00	    0.12	    1.57	    0.76	    1.00	    5.75	    8.00	    0.12	    1.04	    0.50	    1.00	    5.75	    8.00	    0.12	    1.04	    0.50	    0.00	    1.00	    1.00
      40	       4	  324.00	    0.06	    0.79	    2.92	   11.00	    0.09	    0.91	    0.38	    0.94	    4.25	   11.00	    0.09	    0.56	    0.23	    0.94	    4.25	   11.00	    0.09	    0.56	    0.23	    0.00	    1.00	    1.00
      40	       5	 2401.00	    0.46	    0.98	    5.67	   25.00	    0.04	    2.19	    0.68	    1.00	    9.80	   25.00	    0.04	    1.61	    0.50	    1.00	    9.80	   25.00	    0.04	    1.61	    0.50	    0.00	    1.00	    1.00
      40	       6	 4900.00	    0.95	    1.00	   18.25	   36.00	    0.03	    3.53	    0.98	    1.00	   35.00	   36.00	    0.03	    0.69	    0.19	    1.00	   35.00	   36.00	    0.03	    0.69	    0.19	    0.00	    1.00	    1.00
      40	       7																							
      40	       8																							
      40	       9																							
      41	       1	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      41	       2	 4900.00	    0.95	    1.00	   18.25	   51.00	    0.02	    3.29	    0.84	    1.00	   35.00	   51.00	    0.02	    0.69	    0.18	    1.00	   35.00	   51.00	    0.02	    0.69	    0.18	    0.00	    1.00	    1.00
      41	       3	 4900.00	    0.95	    1.00	   35.75	   70.00	    0.01	    4.23	    1.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      41	       4	 4900.00	    0.95	    1.00	   35.75	   70.00	    0.01	    4.23	    1.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      41	       5	 4900.00	    0.95	    1.00	   35.75	   70.00	    0.01	    4.23	    1.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      41	       6	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      41	       7																							
      41	       8																							
      41	       9																							
